Temp,Pressure,vf,vg,uf,ug,hf,hfg,hg,sf,sfg,sg
( C),(Mpa),(m^3/kg),(m^3/kg),(kJ/kg),(kJ/kg),(kJ/kg),(kJ/kg),(kJ/kg),(kJ/kg.K),(kJ/kg.K),(kJ/kg.K)
0.01,0.00061,0.001,205.99,0,2374.9,0.001,2500.9,2500.9,0,9.1555,9.1555
5,0.00087,0.001,147.01,21.02,2381.8,21,2489.1,2510.1,0.0763,8.9485,9.0248
10,0.00123,0.001,106.3,42.02,2388.6,42,2477.2,2519.2,0.1511,8.7487,8.8998
15,0.00171,0.001,77.875,62.98,2395.5,63,2465.3,2528.3,0.2245,8.5558,8.7803
20,0.00234,0.001,57.757,83.91,2402.3,83.9,2453.5,2537.4,0.2965,8.3695,8.666
25,0.00317,0.001,43.337,104.83,2409.1,104.8,2441.7,2546.5,0.3672,8.1894,8.5566
30,0.00425,0.001,32.878,125.73,2415.9,125.7,2429.8,2555.5,0.4368,8.0152,8.452
35,0.00563,0.00101,25.205,146.63,2422.7,146.6,2417.9,2564.5,0.5051,7.8466,8.3517
40,0.00739,0.00101,19.515,167.53,2429.4,167.5,2406,2573.5,0.5724,7.6831,8.2555
45,0.0096,0.00101,15.252,188.43,2436.1,188.4,2394,2582.4,0.6386,7.5247,8.1633
50,0.01235,0.00101,12.027,209.33,2442.7,209.3,2382,2591.3,0.7038,7.371,8.0748
55,0.01576,0.00102,9.5643,230.24,2449.3,230.3,2369.8,2600.1,0.768,7.2218,7.9898
60,0.01995,0.00102,7.6672,251.16,2455.9,251.2,2357.6,2608.8,0.8313,7.0768,7.9081
65,0.02504,0.00102,6.1935,272.09,2462.4,272.1,2345.4,2617.5,0.8937,6.9359,7.8296
70,0.0312,0.00102,5.0395,293.03,2468.9,293.2,2333,2626.1,0.9551,6.7989,7.754
75,0.0386,0.00103,4.1289,313.99,2475.2,314,2320.6,2634.6,1.0158,6.6654,7.6812
80,0.04741,0.00103,3.4052,334.96,2481.6,335,2308,2643,1.0756,6.5355,7.6111
85,0.05787,0.00103,2.8258,355.95,2487.8,356,2295.3,2651.3,1.1346,6.4088,7.5434
90,0.07018,0.00104,2.3591,376.97,2494,377,2282.5,2659.5,1.1929,6.2852,7.4781
95,0.08461,0.00104,1.9806,398,2500,398.1,2269.5,2667.6,1.2504,6.1647,7.4151
100,0.10142,0.00104,1.6718,419.06,2506,419.2,2256.4,2675.6,1.3072,6.0469,7.3541
110,0.14338,0.00105,1.2093,461.26,2517.7,461.4,2229.7,2691.1,1.4188,5.8193,7.2381
120,0.19867,0.00106,0.8912,503.6,2528.9,503.8,2202.1,2705.9,1.5279,5.6012,7.1291
130,0.27028,0.00107,0.668,546.09,2539.5,546.4,2173.7,2720.1,1.6346,5.3918,7.0264
140,0.36154,0.00108,0.50845,588.77,2549.6,589.2,2144.2,2733.4,1.7392,5.1901,6.9293
150,0.47616,0.00109,0.39245,631.66,2559.1,632.2,2113.7,2745.9,1.8418,4.9953,6.8371